text,char,flags,length,unk
[CS:],0xc100,0x0001,0x0000,0x0000
[CR],0xc10f,0x0000,0x0000,0x0000
[CN],0xc200,0x0000,0x0000,0x0000
[RT],0xc300,0x0000,0x0000,0x0000
[S:],0xc400,0x0001,0x0000,0x0000
[RTC:],0xc500,0x0001,0x0001,0x0000
[HO:],0xc500,0x0001,0x0001,0x0000
[VO:],0xc600,0x0001,0x0001,0x0000
[HS:],0xc400,0x0001,0x0000,0x0000
[VS:],0xfc00,0x0001,0x0000,0x0000
[R],0x000a,0x0000,0x0000,0x0000
[RR],0xc700,0x0000,0x0000,0x0000
[FT:],0xc800,0x0001,0x0000,0x0000
[FR],0xc808,0x0000,0x0000,0x0000
[LINE:],0xc900,0x0002,0x0001,0x0000
[LS:],0xca00,0x0001,0x0002,0x0000
[LE],0xcb00,0x0000,0x0000,0x0000
[VLS:],0xbb00,0x0001,0x0002,0x0000
[VLE],0xbc00,0x0000,0x0000,0x0000
[H:],0xcc00,0x0001,0x0002,0x0000
[PV:],0xcd00,0x0001,0x0002,0x0000
[NE:],0xce00,0x0001,0x0002,0x0000
[ES],0xb100,0x0000,0x0000,0x0000
[EE],0xb101,0x0000,0x0000,0x0000
[ML:],0xb300,0x0001,0x0002,0x0000
[IS],0xb400,0x0000,0x0000,0x0000
[IE],0xb401,0x0000,0x0000,0x0000
[H_SELF:],0xbd00,0x0009,0x0001,0x0000
[my_team],0xd000,0x0000,0x0000,0x0000
[hero],0xd100,0x0000,0x0000,0x0000
[partner],0xd200,0x0000,0x0000,0x0000
[c_kind:],0xd300,0x0009,0x0000,0x0000
[c_name:],0xd400,0x0009,0x0000,0x0000
[c_stammer:],0xd500,0x0009,0x0000,0x0000
[player],0xd600,0x0000,0x0000,0x0000
[item:],0xd700,0x0009,0x0001,0x0000
[kind:],0xd800,0x0009,0x0001,0x0000
[waza:],0xd900,0x0009,0x0001,0x0000
[type:],0xda00,0x0009,0x0001,0x0000
[category:],0xdb00,0x0009,0x0001,0x0000
